Test (3B): leader backs up quickly over incorrect follower logs ...
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
[2:2] match:[0 0 101 51 101] next:[2 2 102 52 102]
2024/06/28 08:29:26 [0:cd] commit:1 log:{0 0} {1 1} {2 1} {3 1} {4 1} {5 1} {6 1} {7 1} {8 1} {9 1} {10 1} {11 1} {12 1} {13 1} {14 1} {15 1} {16 1} {17 1} {18 1} {19 1} {20 1} {21 1} {22 1} {23 1} {24 1} {25 1} {26 1} {27 1} {28 1} {29 1} {30 1} {31 1} {32 1} {33 1} {34 1} {35 1} {36 1} {37 1} {38 1} {39 1} {40 1} {41 1} {42 1} {43 1} {44 1} {45 1} {46 1} {47 1} {48 1} {49 1} {50 1} {51 1} {52 1} 
2024/06/28 08:29:26 [1:fo] commit:1 log:{0 0} {1 1} {2 1} {3 1} {4 1} {5 1} {6 1} {7 1} {8 1} {9 1} {10 1} {11 1} {12 1} {13 1} {14 1} {15 1} {16 1} {17 1} {18 1} {19 1} {20 1} {21 1} {22 1} {23 1} {24 1} {25 1} {26 1} {27 1} {28 1} {29 1} {30 1} {31 1} {32 1} {33 1} {34 1} {35 1} {36 1} {37 1} {38 1} {39 1} {40 1} {41 1} {42 1} {43 1} {44 1} {45 1} {46 1} {47 1} {48 1} {49 1} {50 1} {51 1} 
2024/06/28 08:29:26 [2:ld] commit:51 log:{0 0} {1 1} {2 2} {3 2} {4 2} {5 2} {6 2} {7 2} {8 2} {9 2} {10 2} {11 2} {12 2} {13 2} {14 2} {15 2} {16 2} {17 2} {18 2} {19 2} {20 2} {21 2} {22 2} {23 2} {24 2} {25 2} {26 2} {27 2} {28 2} {29 2} {30 2} {31 2} {32 2} {33 2} {34 2} {35 2} {36 2} {37 2} {38 2} {39 2} {40 2} {41 2} {42 2} {43 2} {44 2} {45 2} {46 2} {47 2} {48 2} {49 2} {50 2} {51 2} {52 2} {53 2} {54 2} {55 2} {56 2} {57 2} {58 2} {59 2} {60 2} {61 2} {62 2} {63 2} {64 2} {65 2} {66 2} {67 2} {68 2} {69 2} {70 2} {71 2} {72 2} {73 2} {74 2} {75 2} {76 2} {77 2} {78 2} {79 2} {80 2} {81 2} {82 2} {83 2} {84 2} {85 2} {86 2} {87 2} {88 2} {89 2} {90 2} {91 2} {92 2} {93 2} {94 2} {95 2} {96 2} {97 2} {98 2} {99 2} {100 2} {101 2} 
2024/06/28 08:29:26 [3:fo] commit:51 log:{0 0} {1 1} {2 2} {3 2} {4 2} {5 2} {6 2} {7 2} {8 2} {9 2} {10 2} {11 2} {12 2} {13 2} {14 2} {15 2} {16 2} {17 2} {18 2} {19 2} {20 2} {21 2} {22 2} {23 2} {24 2} {25 2} {26 2} {27 2} {28 2} {29 2} {30 2} {31 2} {32 2} {33 2} {34 2} {35 2} {36 2} {37 2} {38 2} {39 2} {40 2} {41 2} {42 2} {43 2} {44 2} {45 2} {46 2} {47 2} {48 2} {49 2} {50 2} {51 2} 
--- FAIL: TestBackup3B (26.72s)
    config.go:611: one(2802805772518034189) failed to reach agreement
2024/06/28 08:29:26 [4:cd] commit:51 log:{0 0} {1 1} {2 2} {3 2} {4 2} {5 2} {6 2} {7 2} {8 2} {9 2} {10 2} {11 2} {12 2} {13 2} {14 2} {15 2} {16 2} {17 2} {18 2} {19 2} {20 2} {21 2} {22 2} {23 2} {24 2} {25 2} {26 2} {27 2} {28 2} {29 2} {30 2} {31 2} {32 2} {33 2} {34 2} {35 2} {36 2} {37 2} {38 2} {39 2} {40 2} {41 2} {42 2} {43 2} {44 2} {45 2} {46 2} {47 2} {48 2} {49 2} {50 2} {51 2} {52 2} {53 2} {54 2} {55 2} {56 2} {57 2} {58 2} {59 2} {60 2} {61 2} {62 2} {63 2} {64 2} {65 2} {66 2} {67 2} {68 2} {69 2} {70 2} {71 2} {72 2} {73 2} {74 2} {75 2} {76 2} {77 2} {78 2} {79 2} {80 2} {81 2} {82 2} {83 2} {84 2} {85 2} {86 2} {87 2} {88 2} {89 2} {90 2} {91 2} {92 2} {93 2} {94 2} {95 2} {96 2} {97 2} {98 2} {99 2} {100 2} {101 2} 
FAIL
exit status 1
FAIL	6.5840/raft	26.741s
